,blank,objectid,seating_interest,restaurant_name,legal_business_name,dba,building_number,street,borough,postcode,business_address,time_of_submission,latitude,longitude,nta
465,3928,3964,sidewalk,Bondurants,KEVRYN LLC,Bondurants,303,E 85TH STREET,Manhattan,10028,"303 E 85TH STREET, Manhattan, NY",06/22/2020,40.777037,-73.95184499999999,Yorkville
466,3929,3965,sidewalk,McDonalds,"GREENWICH FOODS, LLC","GREENWICH FOODS, LLC",14 EAST,47TH STREET,Manhattan,10017,"14 EAST 47TH STREET, Manhattan, NY",06/22/2020,40.756289,-73.977719,Midtown-Midtown South
467,3937,3973,both,Kung fu noodle inc,Kung fu noodle inc,Kung fu little steamed buns and reman,146,East 55th st,Manhattan,10022,"146  East 55th st, Manhattan, NY",06/22/2020,40.759406,-73.969581,Turtle Bay-East Midtown
468,3941,3977,both,Kungfu noodle inc,Kung fu noodle inc,Kung fu noodle inc,146,East 55th st,Manhattan,10022,"146  East 55th st , Manhattan, NY",06/22/2020,40.759406,-73.969581,Turtle Bay-East Midtown
469,3961,3997,both,The Leopard at des Artistes,GVR Hospitality LLC,The Leopard,1,West 67th street,Manhattan,10023,"1 West 67th street, Manhattan, NY",06/22/2020,40.773219,-73.978702,Lincoln Square
470,3970,4006,roadway,Lagada Corp,Lagada Corp,Ritz Diner,1133,First Avenue,Manhattan,10065,"1133 First Avenue, Manhattan, NY",06/22/2020,40.761582000000004,-73.960538,Lenox Hill-Roosevelt Island
471,3975,4011,sidewalk,Rangoli exquisite Indian cuisine,Chia food Corp,Chia food Corp,1393A,2 Ave,Manhattan,10021,"1393A  2 Ave , Manhattan, NY",06/22/2020,40.769264,-73.958035,Lenox Hill-Roosevelt Island
472,4010,4046,both,JONES WOOD FOUNDRY,BLUE NUN RESTAURANT GROUP LLC,JONES WOOD FOUNDRY,401,East 76th Street,Manhattan,10021,"401 East 76th Street, Manhattan, NY",06/22/2020,40.770255999999996,-73.953771,Lenox Hill-Roosevelt Island
473,4024,4060,both,Hui Restaurant and Bar,The East River Delight Restaurant & Bar Inc,The East River Delight Restaurant & Bar Inc,314,East 70th St,Manhattan,10021,"314 East 70th St, Manhattan, NY",06/22/2020,40.767164,-73.958556,Lenox Hill-Roosevelt Island
474,4032,4068,both,MAMO RESTAURANT,323 MM NYC LLC,MAMO RESTAURANT,323,W Broadway,Manhattan,10013,"323  W Broadway, Manhattan, NY",06/22/2020,40.721999,-74.00408,SoHo-TriBeCa-Civic Center-Little Italy
475,4038,4074,both,Tribeca Tavern,"Myrtle Food and Beverage, Inc.","Myrtle Food and Beverage, Inc.",15,6TH Avenue,Manhattan,10013,"15 6TH Avenue, Manhattan, NY",06/22/2020,40.719398999999996,-74.005191,SoHo-TriBeCa-Civic Center-Little Italy
476,4060,4096,both,Swagat Indian Restaurant,Shree Laxmi Indian Restaurant,Swagat Indian Restaurant,411 A,Amsterdam Avw,Manhattan,10024,"411 A  Amsterdam Avw, Manhattan, NY",06/22/2020,,,
477,4061,4097,roadway,Crave Fishbar UWS,"Upper West Hospitality, LLC",Crave Fishbar Upper West,428,Amsterdam,Manhattan,10024,"428 Amsterdam, Manhattan, NY",06/22/2020,,,
478,4072,4108,both,TacoVision,"Turtle Bay Hospitality, LLC",TacoVision,244,East 53rd Street,Manhattan,10022,"244 East 53rd Street, Manhattan, NY",06/22/2020,40.757259000000005,-73.96835899999999,Turtle Bay-East Midtown
479,4078,4114,roadway,Lusardi's,LUMA REST. INC.,Lusardi's,1494,2nd Avenue,Manhattan,10075,"1494 2nd Avenue, Manhattan, NY",06/22/2020,40.772513000000004,-73.955646,Lenox Hill-Roosevelt Island
480,4103,4139,roadway,Arte Cafe,Westside Tomato Inc,Arte Cafe,106-114,W 73rd ST,Manhattan,10023,"106-114 W 73rd ST, Manhattan, NY",06/23/2020,40.778319,-73.97884499999999,Lincoln Square
481,4106,4142,both,FINNEGAN'S WAKE,FDINNEGAN'S WAKE PUB LLC,FDINNEGAN'S WAKE,1361,1ST AVE,Manhattan,10021,"1361 1ST AVE, Manhattan, NY",06/23/2020,40.768584999999995,-73.95544,Lenox Hill-Roosevelt Island
482,4108,4144,both,Takahachi Tribeca Restaurant,Natsu Inc.,Natsu Inc.DBA Takahachi Tribeca restaurant,145,Duane Street,Manhattan,10013,"145 Duane Street, Manhattan, NY",06/23/2020,40.716432,-74.008016,SoHo-TriBeCa-Civic Center-Little Italy
483,4109,4145,both,FINNEGAN'S WAKE,FINNEGAN'S WAKE PUB LLC,FINNEGAN'S WAKE,1361,1ST AVE,Manhattan,10021,"1361 1ST AVE, Manhattan, NY",06/23/2020,40.768584999999995,-73.95544,Lenox Hill-Roosevelt Island
484,4126,4162,both,Wheeltapper Pub,Fitzpatrick Mgt North America and Hotel Grand Central LLC,Fitzpatrick Mgt North America and Hotel Grand Central LLC,141,East 44th,Manhattan,10017,"141 East 44th, Manhattan, NY",06/23/2020,,,
485,4133,4169,both,FINNEGAN'S WAKE,FINNEGAN'S WAKE PUB LLC,FINNEGAN'S WAKE,1361,1ST AVE,Manhattan,10021,"1361  1ST AVE, Manhattan, NY",06/23/2020,40.768584999999995,-73.95544,Lenox Hill-Roosevelt Island
486,4141,4177,both,ELI'S ESSENTIALS,EAT LEXINGTON 87 LLC,ELI'S ESSENTIALS,1291,LEINGTON AVE,Manhattan,10028,"1291 LEINGTON AVE, Manhattan, NY",06/23/2020,,,
487,4145,4181,sidewalk,ELI'S ESSENTIALS,EAT LEXINGTON 87 LLC,EAT LEXINGTON 87 LLC,1291,LEXINGTON AVE,Manhattan,10028,"1291  LEXINGTON AVE, Manhattan, NY",06/23/2020,40.780069,-73.955158,Upper East Side-Carnegie Hill
488,4154,4190,both,E.A.T.,E.A.T. IS OWNED BY ELI ZABAR INC,E.A.T.,1064,MADISON AVE,Manhattan,10028,"1064 MADISON AVE, Manhattan, NY",06/23/2020,40.777378000000006,-73.961366,Upper East Side-Carnegie Hill
489,4157,4193,both,The Hideaway,Five Acorns LLC,The Hideaway,185,Duane Street,Manhattan,10013,"185 Duane Street, Manhattan, NY",06/23/2020,40.717423,-74.01025899999999,SoHo-TriBeCa-Civic Center-Little Italy
490,4165,4201,sidewalk,Atera,"RBC Bar, Inc",Atera,77,Worth Street,Manhattan,10013,"77  Worth Street, Manhattan, NY",06/23/2020,40.716704,-74.005425,SoHo-TriBeCa-Civic Center-Little Italy
491,4166,4202,sidewalk,Agata & Valentina,J.A.V. Food Corp.,Agata & Valentina,1505,First Avenue,Manhattan,10075,"1505  First Avenue, Manhattan, NY",06/23/2020,40.772064,-73.952903,Lenox Hill-Roosevelt Island
492,4167,4203,roadway,Perry Mallas,MVNBC CORP,BENVENUTO CAFE,369,GREENWICH STREET,Manhattan,10013,"369  GREENWICH STREET, Manhattan, NY",06/23/2020,40.719352,-74.010299,SoHo-TriBeCa-Civic Center-Little Italy
493,4169,4205,both,Breakroom,BM  Burgers & Tacos LLC,Breakroom,83,Baxter Street,Manhattan,10013,"83  Baxter Street, Manhattan, NY",06/23/2020,40.71672,-73.999812,Chinatown
494,4174,4210,both,Little Park,Tribeca Kitchen LLC,Little Park,85,W Broadway,Manhattan,10007,"85  W Broadway, Manhattan, NY",06/23/2020,40.715205,-74.009476,SoHo-TriBeCa-Civic Center-Little Italy
