,blank,objectid,seating_interest,restaurant_name,legal_business_name,dba,building_number,street,borough,postcode,business_address,time_of_submission,latitude,longitude,nta
444,6491,6533,both,"I LOVE PANZEROTTI NY, LLC","I LOVE PANZEROTTI NY, LLC","I LOVE PANZEROTTI NY, LLC",130,St Marks Pl,Manhattan,10009,"130 St Marks Pl, Manhattan, NY",06/30/2020,40.727207,-73.98439599999999,East Village
445,6493,6535,both,Gruppo Thin Crust Pizza,"Fatdog, Inc.",Gruppo Thin Crust Pizza,98,Avenue B,Manhattan,10009,"98 Avenue B, Manhattan, NY",06/30/2020,40.724701,-73.98149599999999,East Village
446,6501,6543,both,B-side,Flam Able LLC,B-side,204,Ave B,Manhattan,10009,"204 Ave B, Manhattan, NY",06/30/2020,40.728406,-73.978796,East Village
447,6523,6565,roadway,Cagen,Cagen Japanese LLC,Cagen Japanese LLC,412 East,9th street,Manhattan,10009,"412 East 9th street, Manhattan, NY",06/30/2020,40.727866,-73.98413599999999,East Village
448,6533,6575,sidewalk,Mojo,"2k Cafe Ole, Inc.",Mojo,70-20,Austin Street,Queens,11375,"70-20 Austin Street, Queens, NY",06/30/2020,40.720696999999994,-73.846274,Forest Hills
449,6537,6579,both,"2k Cafe Ole, Inc.","2k Cafe Ole, Inc.","2k Cafe Ole, Inc.",70-20,Austin Street,Queens,11375,"70-20 Austin Street, Queens, NY",06/30/2020,40.720696999999994,-73.846274,Forest Hills
450,6543,6585,both,Shanes Brooklyn Restaurant,DeWill Restaurant Management Inc,Shanes Brooklyn Restaurant,794,Washington Avenue,Brooklyn,11238,"794 Washington Avenue , Brooklyn, NY",06/30/2020,40.674168,-73.963073,Prospect Heights
451,6544,6586,both,Gnoccheria,Italian Essenza Corp,Gnoccheria,234,E. 4th Street,Manhattan,10009,"234 E. 4th Street, Manhattan, NY",06/30/2020,40.723394,-73.98281300000001,East Village
452,6572,6614,sidewalk,Indie LIC,Indie LIC LLC,Indie LIC LLC,43-10,Crescent Street,Queens,11101,"43-10 Crescent Street, Queens, NY",06/30/2020,40.748707,-73.942316,Hunters Point-Sunnyside-West Maspeth
453,6574,6616,roadway,Austin Public,LukaKila cafe inc,Austin Public,70-28,Austin Street,Queens,11375,"70-28 Austin Street, Queens, NY",06/30/2020,40.720619,-73.84606099999999,Forest Hills
454,6595,6637,both,the crown inn,Franklin Beer And Grocery,Franklin Beer And Grocery,724,Franklin ave,Brooklyn,11238,"724 Franklin ave, Brooklyn, NY",06/30/2020,40.673761999999996,-73.956862,Crown Heights North
455,6606,6648,both,Revision Lounge,219 Avenue B Music Lounge Inc,Revision Lounge,219,Avenue B,Manhattan,10009,"219 Avenue B, Manhattan, NY",06/30/2020,40.728949,-73.97837,Lower East Side
456,6608,6650,sidewalk,B'KLYN BURRO,"B'KLYN BURRO, LLC","B'KLYN BURRO, LLC",922,FULTON STREET,Brooklyn,11238,"922  FULTON STREET, Brooklyn, NY",07/01/2020,40.682891,-73.964118,Clinton Hill
457,6614,6656,both,The Roost,220 Associates Inc.,220 Associates Inc. ( The Roost ),222,Ave. B,Manhattan,10009,"222  Ave. B , Manhattan, NY",07/01/2020,40.729012,-73.978348,East Village
458,6625,6667,sidewalk,Avoid The Day Bookstore & Cafe,Avoid The Day Bookstore LLC,Avoid The Day Bookstore LLC,9904A,Rockaway Beach Blvd,Queens,11694,"9904A Rockaway Beach Blvd, Queens, NY",07/01/2020,40.584164,-73.820483,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
459,6643,6685,both,Il Nocello Ristorante,Il Nocello Ristorante Italiano Inc.,Il Nocello Ristorante Italiano Inc.,14-27,150th Street,Bronx,11357,"14-27 150th Street, Bronx, NY",07/01/2020,,,
460,6647,6689,both,Il Nocello Ristorante,Il Nocello Ristorante Italiano Inc.,Il Nocello Ristorante Italiano Inc.,14-27,150th Street,Queens,11357,"14-27 150th Street, Queens, NY",07/01/2020,40.788160999999995,-73.81354499999999,Whitestone
461,6656,6698,both,Cafe Cortadito,Cafe Cortadito LLC,Cafe Cortadito LLC,210,3rd street,Manhattan,10009,"210  3rd street, Manhattan, NY",07/01/2020,,,
462,6683,6725,both,David's Cafe,Team 110 Inc,Team 110 Inc,110,Saint Marks Pl,Manhattan,10009,"110  Saint Marks Pl, Manhattan, NY",07/01/2020,40.727328,-73.984684,East Village
463,6724,6768,sidewalk,Udom Thai restaurant,My Phu inc,My Phu inc,661,Washington avenue,Brooklyn,11238,"661  Washington avenue, Brooklyn, NY",07/01/2020,40.677382,-73.963674,Prospect Heights
464,6753,6797,sidewalk,WXYZ LOUNGE,HOTEL 2745 LLC,WXYZ BAR,27-45,JACKSON AVENUE,Queens,11101,"27-45  JACKSON AVENUE, Queens, NY",07/01/2020,40.748115999999996,-73.939628,Hunters Point-Sunnyside-West Maspeth
465,6764,6808,both,PJ Leahys,Penny Leahys CORP,Pj Leahys,5002,Vernon boulevard,Queens,11101,"5002 Vernon boulevard , Queens, NY",07/01/2020,40.742619,-73.95415799999999,Hunters Point-Sunnyside-West Maspeth
466,6781,6825,sidewalk,2010MomentoCorp,2010MomentoCorp,2010MomentoCorp,25-13,Queens plaza North,Queens,11101,"25-13  Queens plaza North, Queens, NY",07/01/2020,40.750808,-73.939882,Queensbridge-Ravenswood-Long Island City
467,6797,6841,roadway,Physical GraffiTea,ilana Malka,Physical GraffiTea,96,Saint Marks Pl,Manhattan,10009,"96  Saint Marks Pl, Manhattan, NY",07/01/2020,40.727413,-73.984883,East Village
468,6813,6857,sidewalk,Yin Traditional Hot Pot,Master Yin LIC LLC,Yin Traditional Hot Pot,23-10,Jackson Ave,Queens,11101,"23-10 Jackson Ave, Queens, NY",07/02/2020,40.745895000000004,-73.945433,Hunters Point-Sunnyside-West Maspeth
469,6818,6862,sidewalk,Seattle Cafe,Seattle Bakeshop,Seattle Bakeshop,32-02,Queens Boulevard,Queens,11101,"32-02 Queens Boulevard, Queens, NY",07/02/2020,40.7447,-73.933398,Hunters Point-Sunnyside-West Maspeth
470,6855,6899,sidewalk,Kotti Berliner Doner Kebab,Lecker Foods Hospitality Group LLC,Kotti Berliner Doner Kebab,445,Albee Square West,Brooklyn,11238,"445 Albee Square West, Brooklyn, NY",07/02/2020,40.690833000000005,-73.983452,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
471,6889,6933,sidewalk,Gena's Grill Inc,GenasGrill Inc,GenasGrill Inc,210,First Ave,Manhattan,10009,"210 First Ave, Manhattan, NY",07/02/2020,40.730402000000005,-73.98324000000001,East Village
472,6924,6968,sidewalk,LAST STOP GOURMET SHOP,SURF SNACKS,SURF SNACKS,222,116th,Queens,11694,"222 116th, Queens, NY",07/02/2020,,,
