,blank,objectid,seating_interest,restaurant_name,legal_business_name,dba,building_number,street,borough,postcode,business_address,time_of_submission,latitude,longitude,nta
53,5822,5862,sidewalk,Fratilli's Pizzeria Inc,Fratilli's Pizzeria Inc,Fratilli's Pizza & Cafe,404,Hunts Point Ave,Bronx,10474,"404 Hunts Point Ave, Bronx, NY",06/26/2020,40.80962,-73.88074,Hunts Point
54,5907,5947,both,AGAVE RESTAURANT & LOUNGE CORP,AGAVE RESTAURANT & LOUNGE CORP,AGAVE RESTAURANT & LOUNGE CORP,1973,SOUTHERN BLVD,Bronx,10460,"1973  SOUTHERN BLVD, Bronx, NY",06/27/2020,40.843171000000005,-73.885581,East Tremont
55,5942,5982,both,Country Style Restaurant,Country Style Restaurant LLC,Country Style Restaurant LLC,1195,Walton Avenue,Bronx,10452,"1195 Walton Avenue, Bronx, NY",06/27/2020,40.834759999999996,-73.919666,West Concourse
56,5956,5996,both,Vega Alta Sports Bar Inc.,Vega Alta Sports Bar Inc.,Vega Alta Sports Bar Inc.,880,Gerard Avenue,Bronx,10452,"880  Gerard Avenue, Bronx, NY",06/27/2020,40.827883,-73.924708,West Concourse
57,5961,6001,both,el viejo grand cafe corp,el viejo grand cafe corp,el viejo grand cafe corp,498,east 138st,Bronx,10454,"498   east 138st , Bronx, NY",06/27/2020,40.807722,-73.919634,Mott Haven-Port Morris
58,5962,6002,both,Cambumbo express,Pilar express corp,Pilar express corp,504 e,138 st,Bronx,10454,"504 e 138 st , Bronx, NY",06/27/2020,40.807648,-73.91946,Mott Haven-Port Morris
59,5968,6008,sidewalk,EL NUEVO PATIO RESTAURANT CORP,EL NUEVO PATIO RESTAURANT CORP,EL NUEVO PATIO RESTAURANT CORP,1388,EDWARD L GRANT HWY,Bronx,10452,"1388 EDWARD L GRANT HWY, Bronx, NY",06/27/2020,40.841511,-73.92223100000001,Highbridge
60,5974,6014,both,1002 Lounge & Restaurant,1002 Lounge & Restaurant,1002 Lounge & Restaurant,806,E TREMONT AV,Bronx,10460,"806 E TREMONT AV, Bronx, NY",06/27/2020,40.843672999999995,-73.887619,East Tremont
61,5982,6022,roadway,Rinconcito Tepeyac,Rinconcito Tepeyac Inc.,Rinconcito Tepeyac Inc.,381,138th street,Bronx,10454,"381 138th street, Bronx, NY",06/27/2020,,,
62,6026,6066,both,CRUSH BAR & LOUNGE,EXOTIC LOUNGE INC,CRUSH BAR AND LOUNGE,10,WEST MOUNT EDEN AVE,Bronx,10452,"10 WEST MOUNT EDEN AVE, Bronx, NY",06/27/2020,40.844495,-73.91514000000001,West Concourse
63,6028,6068,both,COPAS LOUNGE,MOFONLOUNGE CORP,MOFONLOUNGE CORP,894,EAST TREMONT AVE,Bronx,10460,"894 EAST TREMONT AVE, Bronx, NY",06/27/2020,40.842171,-73.884578,East Tremont
64,6030,6070,sidewalk,Las Palmas Bakery LLC,Las Palmas Bakery LLC,Las Palmas Bakery LLC,2269,Jerome Ave,Bronx,10453,"2269  Jerome Ave, Bronx, NY",06/27/2020,40.858226,-73.904003,Fordham South
65,6045,6085,both,Parrillas Azteca,Parrilla Azteca Cibaena Inc,Parrilla Azteca Cibaena Inc,1288,Weschester Ave,Bronx,10459,"1288 Weschester Ave, Bronx, NY",06/27/2020,,,
66,6053,6093,sidewalk,noches de palenque,Casa Zola Corp,Noches de Palenque,561,Southern blvd,Bronx,10455,"561 Southern blvd , Bronx, NY",06/27/2020,40.8124,-73.903245,Longwood
67,6075,6115,sidewalk,Juanito Restaurant corp,Juanito Restaurant Corp,Juanito Restaurant Corp,494 E,138 st,Bronx,10454,"494 E  138 st , Bronx, NY",06/28/2020,40.807771,-73.919749,Mott Haven-Port Morris
68,6080,6120,sidewalk,El Barril Restaurant & Lounge Corp,El Barril Restaurant & Lounge Corp,El Barril Restaurant & Lounge Corp,414 E,138 St,Bronx,10454,"414 E 138 St, Bronx, NY",06/28/2020,40.808783,-73.922143,Mott Haven-Port Morris
69,6082,6122,sidewalk,Lili Mexican Rest Corp,Lili Mexican Rest Corp,Lili Mexican Rest Corp,415 E,138 st,Bronx,10454,"415 E 138 st, Bronx, NY",06/28/2020,40.808778000000004,-73.922085,Mott Haven-Port Morris
70,6084,6124,sidewalk,Bar & restaurant el salvadoreno,Bar& restaurant el salvadoreno  Corp,Bar& restaurant el salvadoreno  Corp,451-455,Morris park Avenue,Bronx,10460,"451-455 Morris park Avenue , Bronx, NY",06/28/2020,40.840548,-73.87304499999999,East Tremont
71,6131,6171,sidewalk,TITO EMPANADAS & MAS,TITOS EMPANADAS Y MAS CORP,TITOS EMPANADAS Y MAS CORP,1221,JEROME AVE,Bronx,10452,"1221 JEROME AVE, Bronx, NY",06/28/2020,40.836582,-73.922107,Highbridge
