restaurant_name,legal_business_name,dba,building_number,street,borough,postcode,business_address,time_of_submission,latitude,longitude,income_level
Margot Patisserie,WKT Group II,WKT Group II,2109,Broadway,Manhattan,10023,"2109 Broadway, Manhattan, NY",6/28/2020,40.780408,-73.982076,high_income
HOMEMADE BY MIRIAM,ZEHUZE TRIBECA CORP,ZEHUZE TRIBECA CORP,88,WEST BROADWAY,Manhattan,10007,"88 WEST BROADWAY, Manhattan, NY",6/28/2020,40.715241,-74.009473,high_income
Blackwell’s pub and restaurant,M T Muggs LLC,Blackwell’s,150,East 47th,Manhattan,10017,"150 East 47th, Manhattan, NY",6/28/2020,,,high_income
Tamarind Tribeca,Sukhmani Inc,Sukhmani Inc,99,Hudson,Manhattan,10013,"99  Hudson , Manhattan, NY",6/28/2020,,,high_income
Town Stages,Town Stages LLC,Town Stages,221,W Broadway,Manhattan,10013,"221 W Broadway, Manhattan, NY",6/28/2020,40.719218,-74.00631,high_income
YiaYia's Homemade Greek Food,Oreksi Greek Grill LLC,Oreksi Greek Grill LLC,404,East 69th st,Manhattan,10021,"404  East 69th st, Manhattan, NY",6/28/2020,40.765693,-73.957016,high_income
Sushi kaito,Housaku Inc,Sushi Kaito,244 west,72nd street,Manhattan,10023,"244 west 72nd street, Manhattan, NY",6/29/2020,40.779258,-73.983185,high_income
Aroma Espresso Bar,Coffee on Church LLC,Aroma Espresso Bar,100,Church Street,Manhattan,10007,"100 Church Street, Manhattan, NY",6/29/2020,40.712968,-74.00949,high_income
Le Moulin a Cafe NYC,Sequoia Tree LLC,Le Moulin a Cafe,1439,York Avenue,Manhattan,10075,"1439 York Avenue, Manhattan, NY",6/29/2020,40.769706,-73.951677,high_income
Sarabeth's,BSWR Corp.,Sarabeth's,423,Amsterdam Avenue,Manhattan,10024,"423 Amsterdam Avenue, Manhattan, NY",6/29/2020,40.784011,-73.97768,high_income
Shakespeare & Co.,"Espresso Bookstore & Cafe Holdings, Lexington",Shakespeare & Co.,939,Lexington Avenue,Manhattan,10065,"939 Lexington Avenue, Manhattan, NY",6/29/2020,40.768341,-73.963711,high_income
Sarabeth's,Sarabeths Tribeca LLC,Sarabeths Tribeca LLC,339,Greenwich Street,Manhattan,10013,"339 Greenwich Street, Manhattan, NY",6/29/2020,40.718216,-74.010498,high_income
LA Gourmet,R.A. 110 E 59th Street Operating Corp.,R.A. 110 E 59th Street Operating Corp.,111,E 58th Street,Manhattan,10022,"111 E 58th Street, Manhattan, NY",6/29/2020,40.762013,-73.969584,high_income
Wolfgang's Steakhouse,Wolfgang's Steakhouse,WOLF EASTSIDE LLC,200,54th Street,Manhattan,10022,"200 54th Street, Manhattan, NY",6/29/2020,,,high_income
Pickabagel,Pickabagel62nyc LLC,Pick A Bagel,785,Lexington avenu,Manhattan,10065,"785  Lexington avenu, Manhattan, NY",6/29/2020,40.763618,-73.967157,high_income
MY MOST FAVORITE FOOD,My Most Favorite 72nd St Corp,MY MOST FAVORITE FOOD,247,WEST 72ND STREET,Manhattan,10023,"247 WEST 72ND STREET, Manhattan, NY",6/29/2020,40.779286,-73.983206,high_income
Osteria Laguna,Osteria Laguna LLC,Osteria Laguna,209,East 42nd Street,Manhattan,10017,"209 East 42nd Street, Manhattan, NY",6/29/2020,40.750571,-73.97396,high_income
Campagnola,Camp 1382 LLC,campagnola,1382,1st avenue,Manhattan,10021,"1382 1st avenue, Manhattan, NY",6/29/2020,40.768933,-73.955162,high_income
"Maz Mezcal, Inc",Maz Mezcal,Maz Mezcal,316,East 86th Street,Manhattan,10028,"316 East 86th Street, Manhattan, NY",6/29/2020,40.777602,-73.951123,high_income
Hotel Pierre,"IHMS,LLC",Hotel Pierre,20.52238806,2 E 61st Street,Manhattan,10065,"1375/67 2 E 61st Street, Manhattan, NY",6/29/2020,,,high_income
Handcraft Coffee,77th Street coffee shop inc,Handcraft Coffee,151,E. 77,Manhattan,10075,"151 E. 77, Manhattan, NY",6/29/2020,,,high_income
George Keeley,Pub Life Inc,George Keeley,485,Amsterdam Avenue,Manhattan,10024,"485 Amsterdam Avenue, Manhattan, NY",6/29/2020,40.785924,-73.976289,high_income
Buddha Bodai,Buddha Bodai Vegetarian Restaurant Inc.,Buddha Bodai Vegetarian Restaurant Inc.,5,Mott St,Manhattan,10013,"5 Mott St, Manhattan, NY",6/29/2020,40.713882,-73.998709,high_income
Variety Coffee,Variety Cafe Inc,VARIETY COFFEE ROASTERS,1269,Lexington Ave,Brooklyn,10028,"1269 Lexington Ave, Brooklyn, NY",6/29/2020,,,high_income
Cornerstone Tavern,Elevated Entertainment LLC,Cornerstone Tavern,961,2nd Ave,Manhattan,10022,"961  2nd Ave, Manhattan, NY",6/29/2020,40.755414,-73.968147,high_income
Hummus Place,EDO FOOD III LLC,Hummus Place,305,Amsterdam avenue,Manhattan,10023,"305 Amsterdam avenue, Manhattan, NY",6/29/2020,40.78015,-73.980498,high_income
Sommtime,Elevated 959 LLC,Sommtime,959,2nd Ave,Manhattan,10022,"959  2nd Ave, Manhattan, NY",6/29/2020,40.755365,-73.968179,high_income
REMI43 FLOWER & COFFEE,CH FLOWER CORP.,CH FLOWER CORP.,810,2nd Ave,Manhattan,10017,"810 2nd Ave, Manhattan, NY",6/29/2020,40.750694,-73.971556,high_income
Antonucci Cafe,"Virgilia Cafe, Inc",Antonucci Cafe,168-70,East 81st St,Manhattan,10028,"168-70  East 81st St, Manhattan, NY",6/29/2020,40.775911,-73.957092,high_income
Antonucci Cafe,"Virgilia Cafe, Inc",Antonucci Cafe,168-70,E 81st St,Manhattan,10028,"168-70 E 81st St, Manhattan, NY",6/29/2020,40.775911,-73.957092,high_income
Gran Tivoli,Gran Tivoli LLC,Gran Tivoli,406,Broome St,Manhattan,10013,"406 Broome St, Manhattan, NY",6/29/2020,40.720876,-73.997731,high_income
UPPER EAST CAFE,ARTIO RESTAURANT LLC,UPPER EAST CAFE,1048,3RD AVENUE,Manhattan,10065,"1048 3RD AVENUE, Manhattan, NY",6/29/2020,40.76334,-73.965291,high_income
Viand Cafe,KDK LLC,Viand Cafe,2130,Broadway,Manhattan,10023,"2130  Broadway, Manhattan, NY",6/29/2020,40.780737,-73.981379,high_income
Red Carrots Restaurants Inc,Red Carrots Restaurants Inc,Red Carrots Restaurants Inc,7,E 47th Street,Manhattan,10017,"7  E 47th Street , Manhattan, NY",6/29/2020,40.756443,-73.97804,high_income
redemption,60 sweet thing inc,redemption,1003,2nd avenue,Manhattan,10022,"1003  2nd avenue, Manhattan, NY",6/29/2020,40.756861,-73.967096,high_income
Everest Fodds Inc,Everest Foods Inc,Bukhara Grill,217,E 49th Street,Manhattan,10017,"217 E 49th Street, Manhattan, NY",6/29/2020,40.754951,-73.970623,high_income
Il Mulino Prime,Pasta Perfect LLC,Il Mulino Prime,331,W Broadway,Manhattan,10013,"331 W Broadway, Manhattan, NY",6/29/2020,40.72218,-74.003925,high_income
SUSHI YASUDA,SUSHI YASUDA LTD,SUSHI YASUDA LTD,204 EAST,43RD STREET,Manhattan,10017,"204 EAST 43RD STREET, Manhattan, NY",6/29/2020,40.751266,-73.973562,high_income
Donohue's Cafe Inc.,Donohue's Cafe Inc.,Donohue's Steak Hpuse,845,Lexington Ave,Manhattan,10065,"845 Lexington Ave, Manhattan, NY",6/29/2020,40.76552,-73.96577,high_income
Joe's Shanghai,East moon corp,East moon corp,46,Bowery Street,Manhattan,10013,"46 Bowery Street, Manhattan, NY",6/29/2020,40.715697,-73.996414,high_income
N' Roll,Hi-life new york LLC,Hi-life new york LLC,339 East,75th street,Manhattan,10021,"339 East 75th street, Manhattan, NY",6/29/2020,40.770339,-73.95594,high_income
Iggys,7 Just One Corp,Iggys,1452,2nd Ave,Manhattan,10021,"1452 2nd Ave, Manhattan, NY",6/29/2020,40.771226,-73.956582,high_income
Vin Sur Vingt,"GVI Columbus, LLC","GVI Columbus, LLC",66,West 84th St,Manhattan,10024,"66 West 84th St, Manhattan, NY",6/29/2020,40.784704,-73.972051,high_income
Nonna Beppa,Nonna Beppa Soho LLC,Nonna Beppa,290,Hudson St.,Manhattan,10013,"290 Hudson St. , Manhattan, NY",6/30/2020,40.725523,-74.007602,high_income
Teppen Ramen,Tomo New York Inc.,Teppen Ramen,Ground,East 55th Street,Manhattan,10022,"Ground East 55th Street, Manhattan, NY",6/30/2020,,,high_income
PureKtchn,H&H Pure Kitchen,PureKtchn,649,Lexington Ave.,Manhattan,10022,"649 Lexington Ave., Manhattan, NY",6/30/2020,40.759381,-73.970246,high_income
FLEMING,27 EAST RESTAURANT HOLDINGS LLC,FLEMING,27,E62 ST,Manhattan,10065,"27 E62 ST, Manhattan, NY",6/30/2020,40.76537,-73.969781,high_income
Muldoons Irish Pub,692 RESTAURANT CORP.,Muldoons Irish Pub,692,3rd Avenue,Manhattan,10017,"692 3rd Avenue, Manhattan, NY",6/30/2020,40.751817,-73.973696,high_income
Carlow East,Carlow East Corp,Carlow East Corp,1254,Lexington Avenue,Manhattan,10028,"1254  Lexington Avenue, Manhattan, NY",6/30/2020,40.778502,-73.956325,high_income
Roxy Hotel,Tribeca Grand Hotel Inc.,Tribeca Grand Hotel Inc.,2,Avenue of the Americas,Manhattan,10013,"2 Avenue of the Americas , Manhattan, NY",6/30/2020,40.719128,-74.005166,high_income
Roxy Hotel -,"Tribeca Grand Hotel, Inc.","Tribeca Grand Hotel, Inc.",2,Avenue of the Americas,Manhattan,10013,"2 Avenue of the Americas , Manhattan, NY",6/30/2020,40.719128,-74.005166,high_income
Margot Patisserie,WKT Group II,WKT Group II,2109,Broadway,Manhattan,10023,"2109 Broadway, Manhattan, NY",6/30/2020,40.780408,-73.982076,high_income
Madison & Vine,"Madison & Vine, LLC",Madison & Vine,299,Madison Avenue,Manhattan,10017,"299 Madison Avenue, Manhattan, NY",6/30/2020,40.752101,-73.979416,high_income
Sichuan hotpot cuisine,Sichuan hotpot cuisine,Sichuan hotpot cuisine,34,Pell street,Manhattan,10013,"34 Pell street, Manhattan, NY",6/30/2020,40.714879,-73.998261,high_income
The Sea Fire Grill,AP&SS Restaurant Group LLC,AP&SS Restaurant Group LLC,158,E 48th Street,Manhattan,10017,"158 E 48th Street, Manhattan, NY",6/30/2020,40.754957,-73.972622,high_income
M1-5 Lounge,KNH Enterprises LLC,M1-5,52,Walker Street,Manhattan,10013,"52  Walker Street, Manhattan, NY",6/30/2020,40.71899,-74.003308,high_income
1st Ave Gourmet,1st Ave Gourmet on 68st,1st Ave Gourmet,1274,1st Ave,Manhattan,10065,"1274  1st Ave, Manhattan, NY",7/1/2020,40.765553,-73.957629,high_income
PINK MOOSE LLC,PINK MOOSE LLC,BEAN BAR,1070,First Avenue,Manhattan,10022,"1070 First Avenue, Manhattan, NY",7/1/2020,40.759173,-73.962283,high_income
Hex & Company,Hex East LLC,Hex & Company,1462,1st ave,Manhattan,10075,"1462 1st ave, Manhattan, NY",7/1/2020,40.770481,-73.954034,high_income
THE KATI ROLL COMPANY,THE KATIROLL COMPANY INC,THE KATI ROLL COMPANY,229 EAST,53RD STREET,Manhattan,10022,"229 EAST 53RD STREET, Manhattan, NY",7/1/2020,40.75738,-73.968604,high_income
Scalinatella,scalinatella inc,scalinatella inc,201,East 61 Street,Manhattan,10065,"201 East 61 Street, Manhattan, NY",7/1/2020,40.762671,-73.965327,high_income
Il Postino,Il Postino inc,Il Postino inc,337,East 49th Street,Manhattan,10017,"337 East 49th Street, Manhattan, NY",7/1/2020,40.753847,-73.96801,high_income
Mighty Quinn's Barbeque,Upper East BBQ LLC,Mighty Quinn's Barbeque,1492,2nd Ave,Manhattan,10075,"1492 2nd Ave, Manhattan, NY",7/1/2020,40.772466,-73.955679,high_income
The Five Lamps,Fingal LLC,The Five Lamps,1586,York Avenue,Manhattan,10028,"1586 York Avenue , Manhattan, NY",7/1/2020,40.774346,-73.948265,high_income
The Mill,SOHO 75 LLC,The Mill,75,Varick Street,Manhattan,10013,"75 Varick Street, Manhattan, NY",7/1/2020,40.723217,-74.006227,high_income
Amaze43 Corp,Amaze,Amaze,694,3rd Avenue,Manhattan,10017,"694 3rd Avenue , Manhattan, NY",7/1/2020,40.751856,-73.973667,high_income
by CHLOE,BC 630 LEXINGTON LLC,by CHLOE,630,Lexington Ave.,Manhattan,10022,"630 Lexington Ave., Manhattan, NY",7/1/2020,40.758813,-73.970683,high_income
Amaze,58Asian Corp,Amaze,1066-1068,1 avenue,Manhattan,10022,"1066-1068 1 avenue , Manhattan, NY",7/1/2020,40.759071,-73.962355,high_income
Haru,Haru Amsterdam Avenue Corp,Haru,433,Amsterdam Avenue,Manhattan,10024,"433 Amsterdam Avenue, Manhattan, NY",7/1/2020,40.784234,-73.977521,high_income
PINGS NYC Inc.,Pings NYC Inc.,Pings NYC Inc.,22,MOTT STREET,Manhattan,10013,"22 MOTT STREET, Manhattan, NY",7/1/2020,40.714316,-73.998756,high_income
Toad Hall,57 Grand Street Cafe Corp,Toad Hall,57,Grand Street,Manhattan,10013,"57 Grand Street, Manhattan, NY",7/1/2020,40.722251,-74.003514,high_income
Viand Diner & Bar,EGS LLC,The Viand,517,Columbus Avenue,Manhattan,10024,"517 Columbus Avenue, Manhattan, NY",7/1/2020,40.785706,-73.972733,high_income
Sophie's Cuban,401 E 68th Holding LLC,Sophie's Cuban,401,E 68th St,Manhattan,10065,"401  E 68th St, Manhattan, NY",7/1/2020,40.765108,-73.957525,high_income
Poke restaurent,343 poke LLC,343 poke LLC,343,85 street,Manhattan,10028,"343 85 street, Manhattan, NY",7/1/2020,,,high_income
Zucchero E Pomodori,ZEP LLC,Zucchero E Pomodori,1435,2nd avenue,Manhattan,10021,"1435 2nd avenue, Manhattan, NY",7/1/2020,40.770565,-73.957092,high_income
Mezzaluna,Mezzaluna Associates,Mezzaluna Restaurant,1295,1295 Third Avenue,Manhattan,10021,"1295 1295 Third Avenue, Manhattan, NY",7/1/2020,,,high_income
SOFIA WINE BAR,SOIFA WINE BAR INC.,SOIFA WINE BAR INC.,242,E 50TH STREET,Manhattan,10022,"242 E 50TH STREET, Manhattan, NY",7/1/2020,40.75539,-73.969756,high_income
THE BAR ROOM,117 EAST 60TH STREET LLC.,THE BAR ROOM,117,EAST 60TH,Manhattan,10022,"117 EAST 60TH, Manhattan, NY",7/1/2020,,,high_income
Nice Matin,Renolta LLC,Nice Matin,201,West 79th Street,Manhattan,10024,"201 West 79th Street, Manhattan, NY",7/2/2020,40.783251,-73.978555,high_income
LaTour FL Restaurant Associates LLC,LaTour FL Restaurant Associates LLC,LaTour FL Restaurant Associates LLC,322,East 86th Street,Manhattan,10028,"322 East 86th Street , Manhattan, NY",7/2/2020,40.777561,-73.951021,high_income
Trinity pub,229 cavan cork tavern inc,Trinity pub,229,E 84th,Manhattan,10028,"229  E 84th, Manhattan, NY",7/2/2020,,,high_income
Greenwich Street Tavern,GST399 Inc,Greenwich Street Tavern,399,Greenwich Street,Manhattan,10013,"399 Greenwich Street, Manhattan, NY",7/2/2020,40.720859,-74.010036,high_income
Trinity pub,229 cavan cork tavern inc,trinity pub,229,E 84th,Manhattan,10028,"229 E 84th, Manhattan, NY",7/2/2020,,,high_income
Smilers,532 Madison Avenue Gourmet Foods Inc,Smilers,532,Madison Ave,Manhattan,10022,"532 Madison Ave, Manhattan, NY",7/2/2020,40.760463,-73.973707,high_income
Pret A Manger,Pret A Manger (USA) Limited,Pret A Manger,300,Park Avenue,Manhattan,10022,"300 Park Avenue, Manhattan, NY",7/2/2020,40.756802,-73.974271,high_income
Zucker's Bagels & Smoked Fish,BCN Provisions,Zucker's Bagels & Smoked Fish,146,Chambers Street,Manhattan,10007,"146 Chambers Street, Manhattan, NY",7/2/2020,40.715803,-74.00988,high_income
Pret A Manger,Pret A Manger (USA) Limited,Pret A Manger,880,3 Avenue,Manhattan,10022,"880 3 Avenue, Manhattan, NY",7/2/2020,40.75791,-73.969254,high_income
Gee Whiz Diner,Tribeca Baked Foods Corp,Tribeca Baked Foods Corp,295,Greenwich street,Manhattan,10007,"295 Greenwich street , Manhattan, NY",7/2/2020,40.716009,-74.011017,high_income
Dublin House,Dublin House LLC,Dublin House LLC,225,west 79th,Manhattan,10024,"225 west 79th , Manhattan, NY",7/2/2020,,,high_income
Margherita NYC,Margherita Corp,Margherita NYC,197,Grand Street,Manhattan,10013,"197  Grand Street , Manhattan, NY",7/2/2020,40.71918,-73.996894,high_income
Copinette,Copine 891 Inc,Copinette,891,1st Ave,Manhattan,10022,"891 1st Ave, Manhattan, NY",7/2/2020,40.753978,-73.966097,high_income
Little Frog,LaTour FL Restaurant Associates LLC,Little Frog,322,East 86th Street,Manhattan,10028,"322 East 86th Street , Manhattan, NY",7/2/2020,40.777561,-73.951021,high_income
Everyday Gourmet,"Everyday Gourmet Deli, Inc","Everyday Gourmet Deli, Inc",369,Lexington Ave,Manhattan,10017,"369 Lexington Ave, Manhattan, NY",7/2/2020,40.750583,-73.976663,high_income
Juku,MJK Foods LLC,Juku,32,Mulberry St,Manhattan,10013,"32 Mulberry St, Manhattan, NY",7/2/2020,40.714615,-73.999596,high_income
Murphys Pub and Restaurant,Murphys Pub and Restaurant,Murphys Pub and Restaurant,977,2nd avenue,Manhattan,10022,"977 2nd avenue, Manhattan, NY",7/3/2020,40.755944,-73.967757,high_income
Jamesons,Jamesons,Jamesons,975,2nd avenue,Manhattan,10022,"975  2nd avenue, Manhattan, NY",7/3/2020,40.755895,-73.967793,high_income
Moti Mahal Delux,Tripti Inc,Moti Mahal Delux,1149,1st Ave,Manhattan,10065,"1149  1st Ave, Manhattan, NY",7/3/2020,40.761969,-73.960252,high_income
Restaurant Nippon,Wako International Corp,Restaurant Nippon,155,52nd street,Manhattan,10022,"155 52nd street, Manhattan, NY",7/3/2020,,,high_income
Happy veggie restaurant,Happy veggie restaurant,Happy veggie restaurant,76,Mott street,Manhattan,10013,"76 Mott street, Manhattan, NY",7/3/2020,40.716391,-73.998012,high_income
Irving Farm,East 50th Coffee Corp,Irving Farm Coffee,135,East 50th Street,Manhattan,10022,"135 East 50th Street, Manhattan, NY",7/3/2020,40.756329,-73.97194,high_income
Irving Farm,West 79th Street Coffee Corp,Irving Farm Coffee,224,West 79th Street,Manhattan,10024,"224  West 79th Street, Manhattan, NY",7/3/2020,40.783526,-73.979255,high_income
Nha Trang One,Nha Trang One INc.,Nha Trang One Inc.,87,Baxter Street,Manhattan,10013,"87  Baxter Street, Manhattan, NY",7/3/2020,40.716841,-73.999737,high_income
strangelove,big b restaurant enterprises inc,strangelove,229,E 53rd street,Manhattan,10022,"229 E 53rd street , Manhattan, NY",7/3/2020,40.75738,-73.968604,high_income
The Milling Room,NYC1890 LLC,The Milling Room,446,COLUMBUS AVE,Manhattan,10024,"446 COLUMBUS AVE, Manhattan, NY",7/3/2020,40.78353,-73.97434,high_income
Spice Symphony,J.A.P Creations LLC,Spice Symphony,150E,50 Street,Manhattan,10022,"150E 50 Street, Manhattan, NY",7/3/2020,40.75623,-73.971752,high_income
Pinklady Cheese Tart,Jean Erh lim,Pinklady Cheese Tart,11,Mott st,Manhattan,10013,"11 Mott st, Manhattan, NY",7/3/2020,40.714066,-73.998737,high_income
Jake's Dilemma,Third Avenue Restaurant Inc,Jake's Dilemma,430,Amsterdam,Manhattan,10024,"430 Amsterdam, Manhattan, NY",7/3/2020,,,high_income
Darbar Grill,Midtown Taj Inc,Darbar Grill,157 East,55 street,Manhattan,10022,"157 East  55 street, Manhattan, NY",7/3/2020,40.759367,-73.969448,high_income
Izakaya Toribar,A & L of NY Corp,Izakaya Toribar,164,East 56th street,Manhattan,10022,"164 East 56th street, Manhattan, NY",7/3/2020,40.759938,-73.968902,high_income
Sushi Ren,Renzan Sushi Corporation,Renzan Sushi Corporation,1584,2nd Ave,Manhattan,10028,"1584 2nd Ave, Manhattan, NY",7/4/2020,40.775438,-73.953507,high_income
Le Botaniste,"Botancius Grand, Inc.",Le Botaniste,125,Grand Street,Manhattan,10013,"125  Grand Street , Manhattan, NY",7/4/2020,40.720659,-74.000325,high_income
Cafe Atelier,dreaming moon inc,Cafe Atelier,112,hudson street,Manhattan,10013,"112 hudson street, Manhattan, NY",7/4/2020,40.719624,-74.008629,high_income
Darbar,Manhattan Masala Inc,Darbar,152 East,46 Street,Manhattan,10017,"152 East 46 Street , Manhattan, NY",7/4/2020,40.753706,-73.973529,high_income
Canyon Road Grill,Farciert Inc,Canyon Road Grill,1470,First Ave,Manhattan,10075,"1470 First Ave, Manhattan, NY",7/5/2020,40.770703,-73.953871,high_income
New Cameron Bakery,New Cameron Bakery,New Cameron Bakery,242,Canal Street,Manhattan,10013,"242 Canal Street, Manhattan, NY",7/5/2020,40.718131,-74.00013,high_income
Sweet House Drinks & Desserts,Sweet House Drink & Dessert NY INC,Sweet House Drink & Dessert NY INC,67,Bayard Street,Manhattan,10013,"67  Bayard Street, Manhattan, NY",7/5/2020,40.715499,-73.998142,high_income
MOMOYA,TAIKAI INC,MOMOYA,427,AMSTERDAM AVE,Manhattan,10024,"427 AMSTERDAM AVE, Manhattan, NY",7/6/2020,40.784099,-73.977619,high_income
t bar,t bar,t bar,1408,1278 third avenue,Manhattan,10021,"1408 1278 third avenue, Manhattan, NY",7/6/2020,,,high_income
Caffe Storico,Galaxy Restaurants Catering Group,Galaxy Restaurants Catering Group,2,W 77th St,Manhattan,10024,"2  W 77th St, Manhattan, NY",7/6/2020,40.779589,-73.973865,high_income
The Supply House,1647 Second Ave Corp,The Supply House,1647,Second Ave,Manhattan,10028,"1647 Second Ave, Manhattan, NY",7/6/2020,40.777512,-73.952018,high_income
Little thai kitchen,Jittanuch Corp,Little thai kitchen,231,East 53 rd street,Manhattan,10022,"231  East 53 rd street , Manhattan, NY",7/6/2020,,,high_income
La Mercerie,"Dr. Howard Dr. Fine, LLC",La Mercerie,53,Howard Street,Manhattan,10013,"53  Howard Street, Manhattan, NY",7/6/2020,40.720193,-74.001948,high_income
TINY SHANGHAI,TINY SHANGHAI INC.,TINY SHANGHAI INC.,122,Mulberry Street,Manhattan,10013,"122 Mulberry Street, Manhattan, NY",7/6/2020,40.717838,-73.998117,high_income
Blossom on Columbus,Blossom West Inc,Blossom on Columbus,507,Columbus Ave,Manhattan,10024,"507 Columbus Ave, Manhattan, NY",7/6/2020,40.78546,-73.97291,high_income
Angeletto Restaurant,Angeletto 2nd Ave INC,Angeletto Restaurant,890,2nd Ave,Manhattan,10017,"890   2nd Ave , Manhattan, NY",7/6/2020,40.753252,-73.969689,high_income
Donna Margherita,1304ASECONDAVENUEASSOCIATESLLC,1304ASECONDAVENUEASSOCIATESLLC,1304a,2nd Avenue,Manhattan,10065,"1304a 2nd Avenue, Manhattan, NY",7/6/2020,40.76658,-73.959972,high_income
Candle Cafe,OVG CAFE LLC,OVG CAFE LLC,200,"3 avenue, 74 st, 75 st",Manhattan,10021,"200 3 avenue, 74 st, 75 st, Manhattan, NY",7/6/2020,40.735601,-73.985512,high_income
Uncle Pauls Pizza & Cafe,Uncle Pauls Pizza & Cafe,Uncle Pauls Pizza & Cafe,70,Vanderbilt Ave,Manhattan,10017,"70 Vanderbilt Ave, Manhattan, NY",7/6/2020,40.754667,-73.976755,high_income
Candle Cafe,OVG CAFE LLC,OVG CAFE LLC,1307,"3 avenue, 74 st, 75 st",Manhattan,10021,"1307  3 avenue, 74 st, 75 st, Manhattan, NY",7/6/2020,40.771553,-73.959272,high_income
Totto Ramen Midtown East,New Season Foods Corp.,Totto Ramen Midtown East,248,East 52nd Street,Manhattan,10022,"248 East 52nd Street, Manhattan, NY",7/6/2020,40.756603,-73.968749,high_income
Peacefood Cafe,Peace Food Cafe Inc.,Peacefood Cafe,460,Amterdam Avenue,Manhattan,10024,"460 Amterdam Avenue, Manhattan, NY",7/6/2020,,,high_income
NEW SHANGHAI DELUXE,NEW SHANGHAI DELUXE CORP,NEW SHANGHAI DELUXE RESTAURANT,50,MOTT STREET,Manhattan,10013,"50 MOTT STREET, Manhattan, NY",7/6/2020,40.715535,-73.998539,high_income
Cha Cha Matcha,"Cha Cha Beverages, LLC","Cha Cha Beverages, LLC",373,Broome Street,Manhattan,10013,"373  Broome Street , Manhattan, NY",7/6/2020,40.720256,-73.996237,high_income
Blockheads,954 Second Corp,Blockheads,954,Second Avenue,Manhattan,10022,"954 Second Avenue, Manhattan, NY",7/6/2020,40.755211,-73.968269,high_income
GU Japanese Fusion Sushi and Bar,GU Asian Corporation,GU Fusion Sushi and Bar,155,East 52nd street,Manhattan,10022,"155 East 52nd street , Manhattan, NY",7/6/2020,40.757518,-73.970882,high_income
TSUKUSHI  RESTAURANT,HIKO INC.,TSUKUSHI RESTAURANT,357E,50TH STREET,Manhattan,10022,"357E 50TH STREET, Manhattan, NY",7/6/2020,40.754335,-73.967216,high_income
Shanghai Asian Cuisine,"Lee & Kwok, Inc.",Shanghai Asian Cuisine,14-18,Elizabeth Street,Manhattan,10013,"14-18 Elizabeth Street, Manhattan, NY",7/6/2020,40.715842,-73.997406,high_income
LE BATEAU IVRE,NEW YORK HOSPITALITY GROUP INC,LE BATEAU IVRE,230,E 51 ST.,Manhattan,10022,"230 E 51 ST., Manhattan, NY",7/7/2020,40.756101,-73.969503,high_income
Daily Provisions,375 Amsterdam Avenue  LLC,Daily Provisions,375,Amsterdam Avenue,Manhattan,10024,"375  Amsterdam Avenue, Manhattan, NY",7/7/2020,40.78237,-73.97888,high_income
"Shanghai 21, Inc","Shanghai 21, Inc","Shanghai 21, Inc",21,Mott Street,Manhattan,10013,"21 Mott Street, Manhattan, NY",7/7/2020,40.714371,-73.998784,high_income
Variety Coffee Roasters,Variety Cafe Inc.,Variety Cafe Inc.,1269,Lexington Ave,Manhattan,10028,"1269 Lexington Ave, Manhattan, NY",7/7/2020,40.779092,-73.95587,high_income
CHOPT CREATIVE SALAD COMPANY,CHOPT CREATIVE SALAD COMPANY,CHOPT,341,Amsterdam Avenue,Manhattan,10024,"341 Amsterdam Avenue, Manhattan, NY",7/7/2020,40.78124,-73.979703,high_income
Bonjour Crepes & Wine,Elimor LLC,Bonjour Crepes & Wine,1585,2nd Avenue,Manhattan,10028,"1585 2nd Avenue, Manhattan, NY",7/7/2020,40.77549,-73.953496,high_income
Little Italy pizza,AAA pizza corp,Little Italy pizza,11,Park place,Manhattan,10007,"11 Park place, Manhattan, NY",7/7/2020,40.712828,-74.008296,high_income
Beach Cafe,1326 Restaurant LLC,Beach Cafe,1326,2nd Avenue,Manhattan,10021,"1326 2nd Avenue, Manhattan, NY",7/7/2020,40.767398,-73.959379,high_income
Jin Upper West Side Corporation,Jin Upper West Side Corporation,Jin Upper West Side Corporation,462,Amsterdam Ave.,Manhattan,10024,"462 Amsterdam Ave., Manhattan, NY",7/7/2020,40.785287,-73.976781,high_income
cha chan tang,teabistro inc,cha chan tang,45,mott,Manhattan,10013,"45  mott , Manhattan, NY",7/7/2020,,,high_income
48 50 West 65th Street LLC,Atlantic Grill West,Atlantic Grill West,49,West 64th Street,Manhattan,10023,"49 West 64th Street, Manhattan, NY",7/7/2020,40.771658,-73.980833,high_income
BUBBY'S,BUBBY'S PIE CO INC,BUBBY'S,120,HUDSON ST.,Manhattan,10013,"120 HUDSON ST., Manhattan, NY",7/7/2020,40.719855,-74.00859,high_income
Mulberry & Vine,"Yummy Meep, LLC",Mulberry & Vine,71,Warren Street,Manhattan,10007,"71 Warren Street, Manhattan, NY",7/7/2020,40.715079,-74.009989,high_income
BUBBY'S,BUBBY'S PIE CO INC,BUBBY'S,1120,HUDSON ST,Manhattan,10013,"1120 HUDSON ST, Manhattan, NY",7/7/2020,,,high_income
Parm,"Parm Upper West, LLC","Parm Upper West, LLC",235,Columbus,Manhattan,10023,"235 Columbus, Manhattan, NY",7/7/2020,,,high_income
