,restaurant_name,legal_business_name,dba,building_number,street,borough,postcode,business_address,time_of_submission,latitude,longitude
23,La Frontera Mexicana Corp.,La Frontera  Mexicana Corp.,La Frontera  Mexicana Corp.,497,E. 138th st,Bronx,10454,"497  E. 138th st, Bronx, NY",06/22/2020,40.807736,-73.919623
24,Angela's Cuisine,Angela's Cuisine LLC,Angela's Cuisine LLC,440 East,138TH Street,Bronx,10454,"440 East  138TH Street , Bronx, NY",06/23/2020,40.80853,-73.92154000000001
25,BB Pizza & Dine,BB Pizza,BB Pizza & Dine LLC,605,Southern Blvd,Bronx,10454,"605 Southern Blvd, Bronx, NY",06/23/2020,40.812652,-73.902345
26,Los Nísperos,Los Nísperos Peruvian Restaurant,Los Nísperos Peruvian Restaurant,500E 149,brook ave,Bronx,10455,"500E 149 brook ave, Bronx, NY",06/23/2020,,
27,KING GRILL RESTAURANT,169ST KING GRILL RESTAURANT. INC,169ST KING GRILL RESTAURANT. INC,855,EAST 169TH STREET,Bronx,10459,"855 EAST 169TH STREET, Bronx, NY",06/23/2020,40.829253,-73.897251
28,Xime deli corp,Xime deli corp,Xime deli corp,448,East 138th st,Bronx,10454,"448 East 138th st, Bronx, NY",06/23/2020,40.80845,-73.921356
29,CAMPESINO DOMINICANO RESTAURANT,CAMPESINO DOMINICANO RESTAURANT,CAMPESINO DOMINICANO RESTAURANT,1987,UNIVERSITY AVENUE,Bronx,10453,"1987 UNIVERSITY AVENUE, Bronx, NY",06/23/2020,40.854552000000005,-73.911578
30,"27 SPORTS BAR AND CAFE, NC.","27 SPORTS BAR AND CAFE, INC.","27 SPORTS BAR AND CAFE, INC.",2,WEST MOU57NT EDEN,Bronx,10457,"2  WEST MOU57NT EDEN, Bronx, NY",06/23/2020,,
31,Estrella Bronx Resturant inc.,Estrella Bronx Resturant inc.,Estrella Bronx Resturant inc.,2051,"Webster Ave,",Bronx,10457,"2051 Webster Ave,, Bronx, NY",06/23/2020,40.851289,-73.898786
32,iNINE BISTRO,GEJ Premiere LLC,iNINE Bistro,53,Bruckner Blvd,Bronx,10454,"53 Bruckner Blvd, Bronx, NY",06/24/2020,40.806544,-73.92675899999999
33,iNINE Bistro,GEJ Premiere LLC,iNINE BISTRO,51,Bruckner Blvd,Bronx,10454,"51 Bruckner Blvd, Bronx, NY",06/24/2020,40.806568,-73.926816
34,27 SPORTS BAR AND CAFE INC.,27 SPORTS BAR AND CAFE INC.ON,27 SPORTS BAR AND CAFE INC.ON,2,MOUNT EDEN,Bronx,10457,"2  MOUNT EDEN, Bronx, NY",06/24/2020,,
35,CONEJA JUICE BAR LLC,CONEJA JUICE BAR LLC,CONEJA JUICE BAR LLC,176,E 174TH STREET,Bronx,10457,"176  E 174TH STREET , Bronx, NY",06/24/2020,40.844803000000006,-73.90897
36,Noches Mexicanas,Rancho Mío Corp,Noches Mexicanas,524,Brook ave,Bronx,10455,"524 Brook ave, Bronx, NY",06/24/2020,40.814575,-73.915153
37,noches mexicanas,Rancho mío Corp,Noches Mexicanas,524,Brook ave,Bronx,10454,"524  Brook ave , Bronx, NY",06/24/2020,40.814575,-73.915153
38,Pancho Villa Restaurant Inc,,,2274,Jerome Av,Bronx,10453,"2274  Jerome Av, Bronx, NY",06/24/2020,40.858512,-73.90380400000001
39,Saint Ann’s cafe restaurant llc,Saint Ann’s cafe restaurant llc,Saint Ann’s cafe restaurant llc,283,St Ann’s ave,Bronx,10454,"283  St Ann’s ave, Bronx, NY",06/25/2020,,
40,Reina restaurant,Reina corp,reina corp,1969,University,Bronx,10453,"1969  University , Bronx, NY",06/25/2020,,
41,FRESCO Y RAPIDO INC,FRESCO Y RAPIDO INC,FRESCO Y RAPIDO INC,128,EAST 174TH STREET,Bronx,10457,"128 EAST 174TH STREET, Bronx, NY",06/25/2020,40.844867,-73.91014100000001
42,Beatstro,Harlem Group PR Corp,Beatstro,135,Alexander Ave,Bronx,10454,"135 Alexander Ave , Bronx, NY",06/25/2020,40.807307,-73.927162
43,Bronx Drafthouse,Harlem Group DR Corp,Bronx Drafthouse,884,Gerard Ave,Bronx,10452,"884 Gerard Ave , Bronx, NY",06/25/2020,40.827932000000004,-73.924675
44,Bricks & Hops Beer Garden,Bruckner Garden Corp,Bricks & Hops Beer Garden,65,Bruckner Blvd,Bronx,10454,"65 Bruckner Blvd , Bronx, NY",06/25/2020,40.806391999999995,-73.926397
45,614 MELROSE RESTAURANT CORP,614 MELROSE RESTAURANT CORP,PARRILLA LATINA STEAKHOUSE,614,MELROSE AVE,Bronx,10455,"614 MELROSE AVE, Bronx, NY",06/25/2020,40.817617999999996,-73.917057
46,LA FUENTE STEAK HOUSE CORP.,LA FUENTE STEAK HOUSE CORP.,LA FUENTE STEAK HOUSE CORP.,1306,JEROME AVENUE,Bronx,10456,"1306 JEROME AVENUE, Bronx, NY",06/25/2020,40.838267,-73.919134
47,Ceetay,Ceetay corp,Ceetay,129,Alexander Ave,Bronx,10454,"129 Alexander Ave , Bronx, NY",06/25/2020,40.80723,-73.92721999999999
48,GOTA LOUNGE,KANITA LOUNGE CORP,KANITA LOUNGE CORP,136,EAST 174TH STREET,Bronx,10457,"136 EAST 174TH STREET , Bronx, NY",06/25/2020,40.844859,-73.909971
49,EXITO BAR & LOUNGE CORP.,EXITO BAR & LOUNGE CORP.,EXITO CAFE,960,EAST 165TH STREET,Bronx,10459,"960 EAST 165TH STREET , Bronx, NY",06/26/2020,40.823937,-73.894723
50,ADRIAN TROPICAL,ADRIAN TROPICAL,LOS AMIGOS,674,E 180TH STREET,Bronx,10457,"674  E 180TH STREET, Bronx, NY",06/26/2020,40.848406,-73.889411
51,LA LECHONERA CRIOLLA INC,LA LECHONERA CRIOLLA INC,TRAVIESO BUSINESS SERVICE,1709,WEBSTER AVE,Bronx,10457,"1709 WEBSTER AVE, Bronx, NY",06/26/2020,40.843404,-73.903363
52,Hudson Smokehouse,Hudson Smokehouse Corp,Hudson Smokehous37e Corp,37,bruckner blvd,Bronx,10454,"37 bruckner blvd, Bronx, NY",06/26/2020,40.806978,-73.92779499999999
53,Fratilli's Pizzeria Inc,Fratilli's Pizzeria Inc,Fratilli's Pizza & Cafe,404,Hunts Point Ave,Bronx,10474,"404 Hunts Point Ave, Bronx, NY",06/26/2020,40.80962,-73.88074
54,AGAVE RESTAURANT & LOUNGE CORP,AGAVE RESTAURANT & LOUNGE CORP,AGAVE RESTAURANT & LOUNGE CORP,1973,SOUTHERN BLVD,Bronx,10460,"1973  SOUTHERN BLVD, Bronx, NY",06/27/2020,40.843171000000005,-73.885581
55,Country Style Restaurant,Country Style Restaurant LLC,Country Style Restaurant LLC,1195,Walton Avenue,Bronx,10452,"1195 Walton Avenue, Bronx, NY",06/27/2020,40.834759999999996,-73.919666
56,Vega Alta Sports Bar Inc.,Vega Alta Sports Bar Inc.,Vega Alta Sports Bar Inc.,880,Gerard Avenue,Bronx,10452,"880  Gerard Avenue, Bronx, NY",06/27/2020,40.827883,-73.924708
57,el viejo grand cafe corp,el viejo grand cafe corp,el viejo grand cafe corp,498,east 138st,Bronx,10454,"498   east 138st , Bronx, NY",06/27/2020,40.807722,-73.919634
58,Cambumbo express,Pilar express corp,Pilar express corp,504 e,138 st,Bronx,10454,"504 e 138 st , Bronx, NY",06/27/2020,40.807648,-73.91946
59,EL NUEVO PATIO RESTAURANT CORP,EL NUEVO PATIO RESTAURANT CORP,EL NUEVO PATIO RESTAURANT CORP,1388,EDWARD L GRANT HWY,Bronx,10452,"1388 EDWARD L GRANT HWY, Bronx, NY",06/27/2020,40.841511,-73.92223100000001
60,1002 Lounge & Restaurant,1002 Lounge & Restaurant,1002 Lounge & Restaurant,806,E TREMONT AV,Bronx,10460,"806 E TREMONT AV, Bronx, NY",06/27/2020,40.843672999999995,-73.887619
61,Rinconcito Tepeyac,Rinconcito Tepeyac Inc.,Rinconcito Tepeyac Inc.,381,138th street,Bronx,10454,"381 138th street, Bronx, NY",06/27/2020,,
62,CRUSH BAR & LOUNGE,EXOTIC LOUNGE INC,CRUSH BAR AND LOUNGE,10,WEST MOUNT EDEN AVE,Bronx,10452,"10 WEST MOUNT EDEN AVE, Bronx, NY",06/27/2020,40.844495,-73.91514000000001
63,COPAS LOUNGE,MOFONLOUNGE CORP,MOFONLOUNGE CORP,894,EAST TREMONT AVE,Bronx,10460,"894 EAST TREMONT AVE, Bronx, NY",06/27/2020,40.842171,-73.884578
64,Las Palmas Bakery LLC,Las Palmas Bakery LLC,Las Palmas Bakery LLC,2269,Jerome Ave,Bronx,10453,"2269  Jerome Ave, Bronx, NY",06/27/2020,40.858226,-73.904003
65,Parrillas Azteca,Parrilla Azteca Cibaena Inc,Parrilla Azteca Cibaena Inc,1288,Weschester Ave,Bronx,10459,"1288 Weschester Ave, Bronx, NY",06/27/2020,,
66,noches de palenque,Casa Zola Corp,Noches de Palenque,561,Southern blvd,Bronx,10455,"561 Southern blvd , Bronx, NY",06/27/2020,40.8124,-73.903245
67,Juanito Restaurant corp,Juanito Restaurant Corp,Juanito Restaurant Corp,494 E,138 st,Bronx,10454,"494 E  138 st , Bronx, NY",06/28/2020,40.807771,-73.919749
68,El Barril Restaurant & Lounge Corp,El Barril Restaurant & Lounge Corp,El Barril Restaurant & Lounge Corp,414 E,138 St,Bronx,10454,"414 E 138 St, Bronx, NY",06/28/2020,40.808783,-73.922143
69,Lili Mexican Rest Corp,Lili Mexican Rest Corp,Lili Mexican Rest Corp,415 E,138 st,Bronx,10454,"415 E 138 st, Bronx, NY",06/28/2020,40.808778000000004,-73.922085
70,Bar & restaurant el salvadoreno,Bar& restaurant el salvadoreno  Corp,Bar& restaurant el salvadoreno  Corp,451-455,Morris park Avenue,Bronx,10460,"451-455 Morris park Avenue , Bronx, NY",06/28/2020,40.840548,-73.87304499999999
71,TITO EMPANADAS & MAS,TITOS EMPANADAS Y MAS CORP,TITOS EMPANADAS Y MAS CORP,1221,JEROME AVE,Bronx,10452,"1221 JEROME AVE, Bronx, NY",06/28/2020,40.836582,-73.922107
72,Sabor A Mexico II,Cariely Restaurant Corp,Sabor A Mexico II,233,east 77th street,Manhattan,10454,"233 east 77th street, Manhattan, NY",06/28/2020,40.772615,-73.957401
73,kalopsia restaurant,kalopsia restaurant corp,kalopsia restaurant corp,1324,jeromea ave,Bronx,10452,"1324 jeromea ave, Bronx, NY",06/28/2020,,
74,MARIBELLA PARADISE RESTAURANT CORP,MARIBELLA PARADISE RESTAURANT CORP,MARIBELLA PARADISE RESTAURANT CORP,1460,MACOMBS RD,Bronx,10452,"1460 MACOMBS RD, Bronx, NY",06/29/2020,40.841519,-73.917735
75,Mi Mexico Bar restaurant Corp.,El Chicanito restaurant bar,El Chicanito restaurant bar,435,E. 153rd St.,Bronx,10455,"435  E. 153rd St., Bronx, NY",06/29/2020,40.818698,-73.915758
76,Mofongo el mocano restaurant,mofongo el mocano restaurant and lounge corp,mofongo el mocano restaurant and lounge corp,985,morris av,Bronx,10456,"985 morris av , Bronx, NY",06/30/2020,40.828506,-73.916855
77,La Patrona Restaurant Corp,La Patrona Restaurant Corp,La Patrona Restaurant Corp,812,E. 149th Street,Bronx,10455,"812 E. 149th Street, Bronx, NY",06/30/2020,40.812581,-73.905962
78,Mi Romance Ecuatoriano,Mi Romance Ecuatoriano Inc.,Mi Romance Ecuatoriano Inc.,524 A,Brook Ave.,Bronx,10455,"524 A  Brook Ave., Bronx, NY",06/30/2020,40.814575,-73.915153
79,ANYELISA REST CORP.,ANYELISA REST CORP.,ANYELISA REST CORP.,28,EAST 167TH STREET,Bronx,10452,"28  EAST 167TH STREET , Bronx, NY",06/30/2020,40.835837,-73.921631
80,mamas place restaurant llc,Mamas place restaurant llc,Mamas place restaurant llc,514,E 138 st,Bronx,10454,"514 E 138 st, Bronx, NY",06/30/2020,40.807417,-73.91891899999999
81,EL TIMBIRICHI RESTAURANT CORP.,EL TIMBIRICHI RESTAURANT CORP,EL TIMBIRICHI RESTAURANT CORP,168,EAST 174TH STREET,Bronx,10457,"168 EAST 174TH STREET, Bronx, NY",06/30/2020,40.844812,-73.909104
82,"PAPAYE RESTAURANT, INC","PAPAYE RESTAURANT, INC","PAPAYE RESTAURANT, INC",196,MCLELLAN STREET,Bronx,10456,"196 MCLELLAN STREET, Bronx, NY",07/01/2020,,
83,640 EAST RESTAURANT CORP,640 EAST RESTAURANT CORP,EL VALLE,640,MELROSE AVENUE,Bronx,10455,"640 MELROSE AVENUE, Bronx, NY",07/01/2020,40.81843,-73.916687
84,SOUTHERN BLVD'S CAFE CORP,SOUTHERN BLVD'S CAFE CORP,EL VALLE RESTAURANT,794,SOUTHERN BLVD,Bronx,10455,"794 SOUTHERN BLVD, Bronx, NY",07/01/2020,40.816012,-73.896517
85,Test,Test,Test,555,Test,Bronx,10455,"555 Test, Bronx, NY",07/01/2020,,
86,Don Chile Mexican Grill,DON CHILE MEXICAN GRILL CORP.,DON CHILE MEXICAN GRILL CORP.,801,Southern Boulevard,Bronx,10459,"801  Southern Boulevard, Bronx, NY",07/01/2020,40.816456,-73.896086
87,El Diamante Restaurant Corp,El Diamante Restaurant Corp,El Diamante Restaurant,4371,Third Avenue,Bronx,10457,"4371 Third Avenue, Bronx, NY",07/01/2020,40.850478,-73.894215
88,1900 JEROME AVE SPORTS BAR INC,1900 JEROME AVE SPORTS BAR INC,1900 JEROME AVE SPORTS BAR INC,1900,JEROME AVENUE,Bronx,10453,"1900 JEROME AVENUE, Bronx, NY",07/01/2020,40.85042,-73.91036899999999
89,SABOR DE MI TIERRA RESTAURANT CORP,SABOR DE MI TIERRA RESTAURANT CORP,SABOR DE MI TIERRA RESTAURANT CORP,1712,UNIVERSITY AVENUE,Bronx,10453,"1712  UNIVERSITY AVENUE, Bronx, NY",07/02/2020,40.848620000000004,-73.918019
90,Casa del Mar,"Webster Avenue Enterprise, Inc.","Webster Avenue Enterprise, Inc.",1779,Webster Avenue,Bronx,10457,"1779 Webster Avenue, Bronx, NY",07/02/2020,40.845399,-73.902243
91,lechonera pollo sabroso,1089 lechonera corp.,lechonera pollo sabroso,1089,southern boulevard,Bronx,10459,"1089  southern boulevard, Bronx, NY",07/02/2020,40.825831,-73.891931
92,SANTA CLARITA RESTAURANT CORP,SANTA CLARITA RESTAURANT CORP,SANTA CLARITA RESTAURANT CORP,237,WILLIS AVE,Bronx,10454,"237  WILLIS AVE, Bronx, NY",07/02/2020,40.809212,-73.922822
93,Reina Restaurant,Reina Restaurant,Reina Restaurant,1969,University Avenue,Bronx,10453,"1969  University Avenue, Bronx, NY",07/03/2020,40.854324,-73.911824
94,La Espiga 3 Estrellas,La Espiga 3 Estrellas Corp.,La Espiga 3 Estrellas,558,Southern Blvd.,Bronx,10455,"558  Southern Blvd., Bronx, NY",07/03/2020,40.812373,-73.903278
95,Burger chimi tropical,Burger chimi tropical corp.,Burger chimi tropical corp.,940,Southern Blvd,Bronx,10459,"940 Southern Blvd, Bronx, NY",07/05/2020,40.821096000000004,-73.89161700000001
96,Rinconcito Tepeyac,Rinconcito Tepeyac Inc.,Rinconcito Tepellac Inc.,381E,138th Street,Bronx,10454,"381E 138th Street, Bronx, NY",07/06/2020,40.809338000000004,-73.92341400000001
97,Rinconcito Tepeyac,Rinconcito Tepellac Inc.,Rinconcito Tepellac Inc.,381 E,138th street,Bronx,10454,"381 E 138th street , Bronx, NY",07/06/2020,40.809338000000004,-73.92341400000001
98,MORENA RESTAURANT,MORENA RESTAURANT L.L.C,MORENA RESTAURANT L.L.C,2151,JEROME AVE,Bronx,10453,"2151 JEROME AVE, Bronx, NY",07/06/2020,40.855853,-73.905528
99,quiet bar restaurant,quiet bar restaurant llc,quiet bar restaurant,535,east tremont av,Bronx,10457,"535 east tremont av, Bronx, NY",07/06/2020,40.846623,-73.895923
100,LA CUEVA FONDA RESTAURANTE,MARTINEZ & NINO CORP,LA CUEVA FONDA RESTAURANTE,961,LEGGETT AVENUE,Bronx,10455,"961 LEGGETT AVENUE, Bronx, NY",07/06/2020,40.815298999999996,-73.900214
101,Suyo gastrofusion,KIMO MANAGEMENT GROUP,KIMO MANAGEMENT GROUP CORP50083399,1401,Plaza dr,Bronx,10452,"1401 Plaza dr, Bronx, NY",07/07/2020,40.840501,-73.91800400000001
102,PILAR EXPRESS CORP.,PILAR EXPRESS CORP.,PILAR EXPRESS CORP.,502,"EAST 138TH STREET, STORE 4",Bronx,10454,"502 EAST 138TH STREET, STORE 4, Bronx, NY",07/07/2020,40.807672,-73.91951800000001
103,TROPILYZ III RESTAURANT CORP.,TROPILYZ III RESTAURANT CORP.,TROPILYZ III RESTAURANT CORP.,358,EAST 149TH,Bronx,10455,"358 EAST 149TH , Bronx, NY",07/08/2020,,
104,EL MACO RESTAURANT CORP.,EL MACO RESTAURANT CORP.,EL MACO RESTAURANT CORP.,1481,JEROME AVE,Bronx,10452,"1481 JEROME AVE, Bronx, NY",07/08/2020,40.841713,-73.91664399999999
105,Krystal Bar&Lounge,Liranzo Family Inc,Krystal Bar&Lounge,1534,University Avenue,Bronx,10452,"1534 University Avenue, Bronx, NY",07/08/2020,40.845763,-73.922035
106,Margheritas Pizza,Margherita’s Pizza Corp,Margherita’s Pizza Corp,945,East 163rd street,Bronx,10459,"945 East 163rd street , Bronx, NY",07/09/2020,40.821003999999995,-73.896209
107,El líder bar restaurant,El líder bar restaurant,El líder bar restaurant,4535,Park ave,Bronx,10457,"4535  Park ave , Bronx, NY",07/10/2020,40.855498,-73.894857
108,El Bohio Sabroso,El Bohio Sabroso,El Bohio Sabroso,1155,Webster ave,Bronx,10456,"1155 Webster ave, Bronx, NY",07/11/2020,40.830436,-73.91067
109,LaileileiJuice&SnackBar,Laileilei Juice & Snack Bar,Laileilei Juice & Snack Bar,832,Westchester Avenue,Bronx,10455,"832 Westchester Avenue, Bronx, NY",07/12/2020,40.81945,-73.902046
110,La Espanola Way Inc,La Espanola Way Inc,Tequila & Mezcal,1292,Westchester Avenue,Bronx,10459,"1292  Westchester Avenue, Bronx, NY",07/13/2020,40.827319,-73.88674300000001
111,GOTA LOUNGE,KANITA LOUNGE CORP,KANITA LOUNGE CORP,128,EAST 174TH STREET,Bronx,10457,"128  EAST 174TH STREET, Bronx, NY",07/14/2020,40.844867,-73.91014100000001
112,D'Angel Billiards,D'Angel Billiards Corp,D'Angel Billiards Corp,857,East 149th Street,Bronx,10455,"857 East 149th Street, Bronx, NY",07/14/2020,40.811896000000004,-73.903882
113,"27 SPORTS BAR AND CAFE, INC.",27 SPORTS BAR AND CAFE INC.,27 SPORTS BAR AND CAFE INC.,2,WEST MOUNT EDEN AVENUE,Bronx,10452,"2  WEST MOUNT EDEN AVENUE, Bronx, NY",07/14/2020,40.844404,-73.914916
114,MADE IN PR BAR & LOUNGE,MADE IN PUERTO RICO LATIN CUISINE & SPORTS BAR CORP.,MADE IN PR BAR & LOUNGE,26,BRUCKNER BLVD,Bronx,10454,"26 BRUCKNER BLVD, Bronx, NY",07/14/2020,40.807214,-73.928405
115,pique 86 restaurant,pique 86 restaurant corp,pique 86 restaurant,220E,198th st,Bronx,10452,"220E  198th st , Bronx, NY",07/14/2020,40.869706,-73.890221
116,La Coneja Juice Bar,La Coneja Juice Bar LLC,La Coneja Juice Bar LLC,176,E 174 st,Bronx,10457,"176 E 174 st, Bronx, NY",07/14/2020,40.844803000000006,-73.90897
117,Burger Chimi Tropical,Burger Chimi Tropical Corp,Burger Chimi Tropical Corp,940,Southern Boulevard,Bronx,10459,"940  Southern Boulevard, Bronx, NY",07/14/2020,40.821096000000004,-73.89161700000001
118,The Juicer Shack,The Juicer Shack,Conrado Balderas (DBA) The Juicer Shack,1086,Southern Blvd,Bronx,10459,"1086 Southern Blvd, Bronx, NY",07/15/2020,40.825655,-73.891913
119,Angiolina's Restaurant,Angiolinas Restaurant Inc,Angiolinas Restaurant Inc,1322A,Jerome Avenue,Bronx,10452,"1322A Jerome Avenue, Bronx, NY",07/15/2020,40.838534,-73.91889499999999
120,LA SABROSURA 1 RESTAURANT CORP.,LA SABROSURA 1 RESTAURANT CORP.,LA SABROSURA 1 RESTAURANT CORP.,25A,EAST 172TH STREET,Bronx,10452,"25A EAST 172TH STREET , Bronx, NY",07/16/2020,40.842157,-73.915736
121,LA FUENTE STEAK HOUSE CORP.,LA FUENTE STEAK HOUSE CORP.,LA FUENTE STEAK HOUSE CORP.,1306,JEROME AVENUE,Bronx,10452,"1306 JEROME AVENUE, Bronx, NY",07/16/2020,40.838267,-73.919134
122,LA FUENTE STEAK HOUSE CORP.,LA FUENTE STEAK HOUSE CORP.,LA FUENTE STEAK HOUSE CORP.,1306,JEROME AVENUE,Bronx,10452,"1306 JEROME AVENUE, Bronx, NY",07/16/2020,40.838267,-73.919134
123,880 ROY'S RESTAURANT & BAR CORP.,880 ROY'S RESTAURANT & BAR CORP.,880 ROY'S RESTAURANT & BAR CORP.,880,E TREMONT AVE,Bronx,10460,"880 E TREMONT AVE, Bronx, NY",07/16/2020,40.84279,-73.885846
124,880 ROY'S RESTAURANT & BAR CORP.,880 ROY'S RESTAURANT & BAR CORP.,880 ROY'S RESTAURANT & BAR CORP.,1951,SOUTHERN BLVD,Bronx,10460,"1951  SOUTHERN BLVD, Bronx, NY",07/16/2020,40.84254,-73.885705
125,Fantasy Bar and Restaurant,Fantasy Bar and Restaurant Corp,Fantasy Bar and Restaurant Corp,23,E Tremont Ave,Bronx,10453,"23 E Tremont Ave, Bronx, NY",07/16/2020,40.851583000000005,-73.908834
126,LA SABROSURA 1 RESTAURANT CORP.,LA SABROSURA 1 RESTAURANT CORP.,LA SABROSURA 1 RESTAURANT CORP.,25A,EAST 170TH STREET,Bronx,10452,"25A EAST 170TH STREET, Bronx, NY",07/17/2020,40.839841,-73.916653
127,Pio Pio Restaurant,Pio Pio NYC Inc,Pio Pio Restaurant,264,Cypress Avenue,Bronx,10454,"264 Cypress Avenue, Bronx, NY",07/17/2020,40.806016,-73.914239
128,Outside looking in restaurant lounge inc,Outside looking in restaurant lounge inc,Outside looking in restaurant lounge inc,1877,Carter av,Bronx,10457,"1877 Carter av, Bronx, NY",07/18/2020,40.847325,-73.901915
129,star restaurant and cafe,star restaurant and cafe,star restaurant and cafe,1298,westchester ave,Bronx,10459,"1298  westchester ave, Bronx, NY",07/19/2020,40.827382,-73.88662
130,La Penda II Restaurant,La Penda II Restaurant LLC,La Penda II Restaurant LLC,485,E. 180th St.,Bronx,10457,"485 E. 180th St., Bronx, NY",07/20/2020,40.851357,-73.895323
131,Hungry Bird,Mahek Limited Liability Company,Mahek Limited Liability Company,980,Morris Avenue,Bronx,10456,"980 Morris Avenue, Bronx, NY",07/20/2020,40.828434,-73.91686999999999
